source,desc
Hacker News,"Photofeeler (<a href=""https:&#x2F;&#x2F;www.photofeeler.com"" rel=""nofollow"">https:&#x2F;&#x2F;www.photofeeler.com</a>) | Software Engineers, Marketing Roles | REMOTE or Onsite near Boulder, CO<p>If you were a fan of the old OkCupid blog or Christian Rudder&#x27;s &quot;Dataclysm,&quot; you will love it here.<p>Photofeeler is a tool for photo feedback, but we&#x27;re primarily a data science company. We do math to maximize the statistical value of small, noisy data samples. Our company is changing the future of online profiles.<p>The gig offers unparalleled freedom without beauracratic nonsense (think: can work remote, work flexible hours, no unnecessary meetings). Our users are eager and enthusiastic for everything that we build.<p>More info: <a href=""https:&#x2F;&#x2F;www.photofeeler.com&#x2F;jobs"" rel=""nofollow"">https:&#x2F;&#x2F;www.photofeeler.com&#x2F;jobs</a>"
Hacker News,"Q-Branch Labs (<a href=""https:&#x2F;&#x2F;www.q-branch.net"" rel=""nofollow"">https:&#x2F;&#x2F;www.q-branch.net</a>) | Marketing Director, Hardware Product Manager, Python Developer | FULL-TIME | London | ONSITE | £50-75K + equity<p>Join a team helping to protect smart homes from the internet of insecure things.  We all know IoT and connected-devices are a security nightmare:  infrequently updated, often insecure by design, and a constantly growing source of zombie devices for botnet herders.  Help a seed-funded startup solve this problem for the huge mass of people who are not security&#x2F;networking experts and need an easy to install and easy to use solution!<p>Marketing Director - Q-Branch is looking for an ambitious marketing director who has experience in crafting a startup marketing plan from the ground up; messaging, PR, advertising and design.  Crowdfunding and social media management experience strongly desired.<p>Hardware Product Manager - We need someone with experience in delivering a consumer hardware product, from CAD design and injection molding to assembly and shipping.  We need someone with experience in sourcing parts, performing hardware QA and certification, and handling the end-to-end pipeline from development to delivery.<p>Python Developer - Q-Branch is also looking for an experienced Python developer with a strong linux&#x2F;unix background. Role will involve devops work (Ansible&#x2F;Kubernetes&#x2F;Terraform on AWS) as well as work on a large-scale event processing pipeline feeding a variety of analytics engines. Some experience in cyber-security, security data analytics, and machine learning are all major wins for a candidate.<p>Contact us at jobs@q-branch.net for more info or check us out on AngelList (<a href=""https:&#x2F;&#x2F;angel.co&#x2F;q-branch-labs&#x2F;jobs"" rel=""nofollow"">https:&#x2F;&#x2F;angel.co&#x2F;q-branch-labs&#x2F;jobs</a>)"
Hacker News,"Worldwide, REMOTE, full time or part time -- 100% flexibility. $70-100&#x2F;hr. Expert Interviewer at Karat (<a href=""https:&#x2F;&#x2F;karat.io"" rel=""nofollow"">https:&#x2F;&#x2F;karat.io</a>)<p>Work from anywhere in the world that has a solid internet connection. Work as much or as little as you want. Work any day, any time of day, any number of hours -- you can do 0 one week, 50 the next week, and back to 0 the next week. Only requirement there is that we want you to roughly average at least 10 hours a week, or else the training&#x2F;time investment doesn&#x27;t make as much sense from your end or ours.<p>I know the above might sound a little strange, so a bit about the company for context: Karat is a Seattle-based startup that does software engineering interviews on behalf of other companies -- primarily first-round phone screens. Quickly-growing companies can spend a significant fraction of their engineers&#x27; time interviewing; we help take the load off. We&#x27;ve done a lot to make the interview experience better for all stakeholders that I could write whole essays about, but suffice it to say that candidates love working with us, clients love working with us, and we&#x27;re well-funded and growing quickly as a result.<p>Because of this quickly-growing demand, we&#x27;re looking to hire more Expert Interviewers. The ideal candidate is a software engineer with strong written and verbal English skills with at least a few years of professional experience. Interviewing experience would be great, but we spend 25 hours (paid) training you before you even start, so if you&#x27;re strong technically and love working with people we can usually make it work :) Interviews are conducted over video chat, using a collaborative code editor.<p>Some of our interviewers are freelancers who use our scheduling model to backfill hours; others are full timers at top tech companies looking to make some extra cash; others have quit their jobs to work with us full time; some are digital nomads; one of our interviewers is road tripping around North America for a year and a half, doing anywhere from zero to 40 interviews each week depending on where he is and what the weather&#x27;s like.<p>The application form is here: <a href=""https:&#x2F;&#x2F;jobs.lever.co&#x2F;karat&#x2F;d44ab283-c7c0-4bbd-b8c3-4dc0ced64c86?lever-origin=applied&amp;lever-source=HNWH"" rel=""nofollow"">https:&#x2F;&#x2F;jobs.lever.co&#x2F;karat&#x2F;d44ab283-c7c0-4bbd-b8c3-4dc0ced6...</a><p>I know it&#x27;s a pretty unique job, so if you have any questions reply here or email me at josh@karat.io and I&#x27;m happy to talk through any of it.<p>P.S. We&#x27;re also hiring for our internal team -- particularly looking for senior engineers right now; for those we generally prefer local (Seattle) candidates, though we do cover relocation. More details on those here: <a href=""https:&#x2F;&#x2F;karat.io&#x2F;careers"" rel=""nofollow"">https:&#x2F;&#x2F;karat.io&#x2F;careers</a>, or feel free to email me if you have any questions."
Hacker News,"Lendable | Senior Software Engineers, Senior Devops Engineer | London | Full Time | Onsite | Salary: £60k-£80k |<p><a href=""https:&#x2F;&#x2F;www.lendable.co.uk&#x2F;"" rel=""nofollow"">https:&#x2F;&#x2F;www.lendable.co.uk&#x2F;</a> Join Lendable - the UK&#x27;s fastest growing lending platform. We&#x27;re a small team of high performers who have built outstanding tech to deliver real innovation in Fintech in the form of automated lending. Well-funded (£400M+) and profitable after only three years. We are on the lookout for talented software engineers and devops engineers to help us get further, faster. Software development is at the heart of what we do and lead all our business decisions. You&#x27;ll be working directly with our CTO co-founder building our platform and internal tools. Challenging project, no boring CMS work, real application development.<p>Software Engineers: Experience with Symfony 3 and PHP 7 is required. 
Devops Engineers: Experience with Docker and AWS is required.<p>Perks include: 
annual company sponsored working vacation abroad,  
hardware of your choice, 
regular team events, 
weekly company lunch, 
weekly yoga classes, 
loft office in Shoreditch<p>Apply: email livia@lendable.co.uk"
Hacker News,"Gambit Research Ltd (<a href=""http:&#x2F;&#x2F;gambitresearch.com"" rel=""nofollow"">http:&#x2F;&#x2F;gambitresearch.com</a>) | London, UK | ONSITE | £40-80k + Bonus<p>Gambit Research specialises in creating and managing an automated betting service, via research, statistical analysis and the use of complex algorithms. We ingest and organise terabytes of market and event data from more than fifty sources and make the data available to our strategy teams in real time. We care deeply about speed, accuracy and availability.<p>Our flagship product, MollyBet.com, presents the odds offered by many of the world&#x27;s largest bookmakers and betting exchanges, and enables clients to bet with multiple operators with a single mouse-click or API request. Molly is generally regarded as the best product in its class.<p>We&#x27;re always looking for clever, pragmatic, and autonomous individuals to join our team. We have a unique culture, where hierarchy and fancy job titles don&#x27;t matter. Instead our team is given the freedom to choose their own tools, work on projects they actually find interesting, and have totally flexible working hours. The technologies our team typically works with includes: Linux, Docker, Kubernetes, Ansible, C, C++, Java, Haskell, Julia, Go, JavaScript, AngularJS, ReactJS, Django, PostgreSQL, Redis, Apache Spark, Apache Kafka, RabbitMQ, Celery, Elasticsearch, Logstash, Kibana, Graphite, Sentry, Git, and GitLab.<p>We&#x27;re currently recruiting for:<p><pre><code>  - Python developers
  - Erlang developers
  - JavaScript (ReactJS) developers
  - Linux infrastructure engineers &#x2F; SREs
 </code></pre>
Visit <a href=""https:&#x2F;&#x2F;www.gambitresearch.com&#x2F;jobs.html"" rel=""nofollow"">https:&#x2F;&#x2F;www.gambitresearch.com&#x2F;jobs.html</a> or send your CV over to careers@gambitresearch.com for more information."
Hacker News,"DatHuis | Amsterdam, Netherlands | Engineer | ONSITE, Full-time | <a href=""https:&#x2F;&#x2F;www.dathuis.nl"" rel=""nofollow"">https:&#x2F;&#x2F;www.dathuis.nl</a><p>Selling your house and moving should be easy, almost frictionless. Why is this such a hard and frustrating experience for so many people? We are building SaaS solutions for brokers as well as consumer-facing products to increase transparency and efficiency in the market.<p>We are an investor-backed startup of currently two people looking for another experienced full-stack or front-end engineer with a strong interest in building products to join our team. As a developer, you are focused on writing admirable code and care about both stable and new technology. We don’t believe in hierarchy or prioritise anyone&#x27;s ideas, you will be an integral part in moving the company forward with a big impact on our technology stack.<p>Requirements<p>* Extensive experience with Javascript ( preferably with types )<p>* Strong motivation to create loved products with an eye for detail<p>* Experience with React.js and React Native<p>* Experience in GraphQL<p>* Fluent in English<p>Nice to have<p>* Entrepreneurial, with the aspiration to become a co-founder<p>* Experience in native mobile development<p>* Experience in a strongly typed language<p>Get free coffee and a pen with philipp@dathuis.nl"
Hacker News,"PlanGrid (YCW12) | San Francisco | Full-time, On-Site | Visa<p>We’re building software that is changing the construction process (think GitHub for construction). Our users love our app because it helps them build real things more efficiently. By joining our team you can influence product decisions and work on interesting technical challenges (our client apps work with GBs of blueprints and metadata). Our engineering teams are small; whatever team you work on, you&#x27;ll have a chance to have a big impact.<p>We’re hiring across all of our engineering teams: Android, Web, iOS, Windows, Backend (Python).<p>You can see our job postings and apply here: <a href=""https:&#x2F;&#x2F;jobs.lever.co&#x2F;plangrid?lever-via=SzsN-_Jgq1"" rel=""nofollow"">https:&#x2F;&#x2F;jobs.lever.co&#x2F;plangrid?lever-via=SzsN-_Jgq1</a><p>As an example, here&#x27;s a detailed post about what working on the iOS team looks like: <a href=""https:&#x2F;&#x2F;medium.com&#x2F;plangrid-technology&#x2F;working-on-the-plangrid-ios-team-1d1757c76be9"" rel=""nofollow"">https:&#x2F;&#x2F;medium.com&#x2F;plangrid-technology&#x2F;working-on-the-plangr...</a>"
Hacker News,"Costco Travel | Full-Stack Engineer | FULL-TIME | Issaquah, WA | ONSITE<p>Costco Travel is looking for a creative, full-stack developer to be a critical member on the development of current and upcoming projects and enhancements to its ecommerce portal. This will include both internal and online applications and will involve the development enhancement and maintenance of reservation software and creation of vendor specific connections via web services for product availability, pricing and reservations.<p>Our team values:<p><pre><code>  - Communication &amp; empathy
  - Spending time together away from work
  - Providing a family friendly environment
  - Work&#x2F;life balance

</code></pre>
Preferred Stack: Java, MS-SQL, T-S<p>Nice to Haves: Experience in the travel industry<p>Benefits:<p><pre><code>  - Free Costco memberships
  - Travel discounts
  - Medical&#x2F;dental coverage
  - 401(k)
</code></pre>
Learn more via Fizbuz: <a href=""https:&#x2F;&#x2F;www.fizbuz.com&#x2F;companies&#x2F;costco-travel"" rel=""nofollow"">https:&#x2F;&#x2F;www.fizbuz.com&#x2F;companies&#x2F;costco-travel</a>"
Hacker News,"Secfi | Software engineer(s) | Amsterdam, the Netherlands | EUR 35-60k + equity<p>We&#x27;re on a mission to increase employee’s private company ownership by helping them exercise their options - a complex and opaque process that typically comes with a lot of anxiety and unanswered questions. Our tools help you take control of your stock options and maximize their potential.<p>For example: one of the most complicated things for employees is figuring out how much taxes they need to pay when exercising their Incentive Stock Options or Non-qualified Stock Options. Our recently launched tax planning tool does just that: <a href=""https:&#x2F;&#x2F;www.secfi.com&#x2F;option-tax-planning&#x2F;"" rel=""nofollow"">https:&#x2F;&#x2F;www.secfi.com&#x2F;option-tax-planning&#x2F;</a><p>Things we are building next: multiyear tax forecast analysis, recommendation engine based on various sources and fantastic UX and UI.
We’ve raised funding from renowned VC investors (known from Uber, Robin Hood), recently launched on ProductHunt and are aggressively hiring to keep up with demand.
Looking for:<p>- Front-end developers <a href=""https:&#x2F;&#x2F;www.secfi.com&#x2F;careers&#x2F;front-end-developer&#x2F;"" rel=""nofollow"">https:&#x2F;&#x2F;www.secfi.com&#x2F;careers&#x2F;front-end-developer&#x2F;</a>
Interested?<p>Please email frederik@secfi.com to get in touch."
Hacker News,"Petuum | Software Engineer, Data Scientist | Pittsburgh, PA | ONSITE, VISA | <a href=""http:&#x2F;&#x2F;www.petuum.com&#x2F;careers.html"" rel=""nofollow"">http:&#x2F;&#x2F;www.petuum.com&#x2F;careers.html</a><p>Petuum is building a platform for easily running distributed machine learning. 
The company was spun out of a Carnegie Mellon research group about two years ago, and we have raised $108 million through Series A + B funding to support our rapid growth.<p>The Petuum development platform and gallery of AI building blocks work with any programming language and any type of data, allowing managers and analysts to quickly build AI applications without any coding, while engineers and data scientists can further enhance applications as needed.<p>What we look for: Competent engineering acumen. Additionally,<p>* Front-end: Experience with Typescript and Angular is a plus.<p>* Back-end: Experience with some of C&#x2F;C++, Go, Python, CUDA, and Kubernetes is a plus<p>* Data science: We look for at least a master&#x27;s in data science or related. Industry experience with TensorFlow&#x2F;Caffe is a plus.<p>We are hiring for our Pittsburgh and Sunnyvale offices."
Hacker News,"PRIVATE INTERNET ACCESS | <a href=""https:&#x2F;&#x2F;www.privateinternetaccess.com&#x2F;"" rel=""nofollow"">https:&#x2F;&#x2F;www.privateinternetaccess.com&#x2F;</a> | DevOps, Rails and Desktop Engineers | Full-Time Private Internet Access is a VPN service which brings security and privacy to the average user that’s fast and simple to use.
We’re an activist organization at heart and are significant donors for organizations such as the EFF, Freenode, Fight for the Future, Creative Commons, FSF, Linux Mint, Arch Linux, etc. You can learn more about the companies we support here: <a href=""https:&#x2F;&#x2F;www.privateinternetaccess.com&#x2F;pages&#x2F;companies-we-spo..."" rel=""nofollow"">https:&#x2F;&#x2F;www.privateinternetaccess.com&#x2F;pages&#x2F;companies-we-spo...</a>.<p>We’re looking for experienced DevOps, Rails and Desktop (JS+Ruby) Engineers anywhere in the world. You will work on both the VPN service as well as our new product ventures as we continue to make amazing privacy products.<p>We offer: - Competitive Salaries - Flexible Vacation Time - Experienced Engineers<p>For US Employees we also offer: - Health&#x2F;Dental&#x2F;Vision paid 100% for Employee and Employee + Spouse - Employer paid STD, LTD, and Life&#x2F;AD&amp;D<p>If you’re interested about learning more about the positions, please email jobs@privateinternetaccess.com with cover letter and resume."
Hacker News,"Commure, Inc. | San Francisco, CA | Rust Engineer | Fulltime | ONSITE<p>We are a stealth startup working to fix the software doctors use. If you have seen what physicians have to put up with, it&#x27;s a bad version of the 90s, and makes medical care worse and more expensive for everyone. We are a group of previously successful engineers and entrepreneurs (MIT, Dartmouth, Datapower, Stripe, Salesforce, etc) and senior doctors (Johns Hopkins, UCSF, etc) who are determined to finally fix this.<p>Compensation: market salary &amp; equity -- we are well funded.<p>Stack: includes Rust, React and Node. We will also be solving some very interesting problems in the areas of data processing, APIs, UX and fine-grained application security.<p>Please email jobs@commure.com and mention &quot;[hnrust]&quot; in the subject line. Other positions available, but please use [hnjobs] in subject line."
Hacker News,"American Reading Company | Full Stack Developer | PHP &#x2F; MySQL &#x2F; JS &#x2F; Docker | King of Prussia, PA (Philadelphia area) | FULL-TIME ONSITE<p>We&#x27;re looking for a full stack developer to work on both new and established education technology solutions. Our products are used by school and district administrators throughout the country.  We are looking for someone who will build a lasting career with us!<p>- PHP 7
- MySQL 5.7
- JS
- Bootstrap
- SASS
- Docker
- RabbitMQ
- Redis<p>About Us:<p>At American Reading Company, we create content, build tools, and provide training to help students become avid readers and learners. Educational technology, including web and mobile applications, are crucial to our daily operations.<p>Why You’ll Want to Join Our Team:<p>- A competitive salary and benefits such as 20 days paid time off plus holidays, 401K, and employer contribution to the cost of health insurance
- College Savings Plan, Short &amp; Long-Term Disability insurance, an Employee Assistance Program, and a children&#x27;s home library collection
- Dog and family friendly environment that is 100% solar powered
- The opportunity to contribute in a meaningful way, in a rapidly growing, socially responsible company<p>Apply: <a href=""https:&#x2F;&#x2F;americanreadingcompany.applytojob.com&#x2F;apply&#x2F;gDm5zi0mtR&#x2F;Full-Stack-Developer-Ed-Tech?referrer=20180601143637BKO6HAKVPKUZGBM4"" rel=""nofollow"">https:&#x2F;&#x2F;americanreadingcompany.applytojob.com&#x2F;apply&#x2F;gDm5zi0m...</a>"
Hacker News,"Consistec GmbH | Java&#x2F;Scala Developer | FULL-TIME | Saarbrücken, DE | ON-SITE<p>Interested in developing a scalable analysis system for network data? We work with a high-performance multithreaded environment which can be distributed over several systems. Different NoSQL databases help us to save the data depending on the scaling and to make it available for further analysis over as long a period as possible. A central REST-API connects our systems with each other and offers a uniform interface to the outside. For further analysis we use our dynamic web UI which can be configured individually. We use the following technologies, among others:
•	Akka &amp; Kafka
•	ElasticSearch &amp; InfluxDB
•	Java&#x2F;Scala &amp; Play Framework
•	Typescript&#x2F;React<p>Apply at bewerbung@consistec.de<p><a href=""http:&#x2F;&#x2F;www.consistec.de&#x2F;de&#x2F;stellenangebote.html"" rel=""nofollow"">http:&#x2F;&#x2F;www.consistec.de&#x2F;de&#x2F;stellenangebote.html</a>"
Hacker News,"Entelo | San Francisco, CA | Full-time | Onsite<p>Entelo uses huge amounts of data and predictive analytics to help companies build great teams. Our ~30-person engineering team uses technologies like Ruby, JavaScript, Go, React, Kubernetes, Docker, Kafka, Spark, and Redshift, and we have customers like Facebook, Netflix, Slack, and Paypal. We ingest and parse up to 2 TB of social profile data per day, predict when people will change jobs, match people to jobs, and more. We&#x27;ve recently had some great additions to our team, including Gaurav Kataria, former Head of Data Science and Growth at Google Cloud:
<a href=""https:&#x2F;&#x2F;www.linkedin.com&#x2F;pulse&#x2F;from-google-entelo-gaurav-kataria"" rel=""nofollow"">https:&#x2F;&#x2F;www.linkedin.com&#x2F;pulse&#x2F;from-google-entelo-gaurav-kat...</a><p>We care deeply about promoting diversity in tech and being pleasant, collaborative folks. Join us as we continue to grow very quickly and discover new ways to merge machine learning, big data, and engineering to provide value to our customers!<p>We&#x27;re hiring for many roles including:<p>* Infrastructure Engineering Manager<p>* Senior Data Engineer<p>* Senior Infrastructure Engineer<p>* Senior QA Lead<p>* Technology Specialist<p>If you&#x27;re interested, check out our open positions at <a href=""https:&#x2F;&#x2F;www.entelo.com&#x2F;careers"" rel=""nofollow"">https:&#x2F;&#x2F;www.entelo.com&#x2F;careers</a>, or feel free to email us directly at careers at entelo dot com."
Hacker News,"Tapad | Full-Time, Onsite: NYC or Oslo | Open Compensation<p>Tapad is known for inventing and introducing the Tapad Device Graph™ to the industry. At the heart of it, we dig data. Built on Scala from Day 1, Tapad Engineering leverages cutting-edge tech like Spark, Kafka, and Hadoop. We also leverage GCP and the associated tools found in their offering (i.e., BigQuery, BigTable, DataProc, etc.).<p>Tapad&#x27;s Open Source tech stack (below) handle:<p>___________________________________________<p>Distributed Applications... Scala, Python<p>Distributed Computing... Google Cloud, BigQuery, Kafka, Zookeeper, Spark<p>___________________________________________<p>Here are our open roles in Engineering:<p>Senior Engineer Manager (Oslo): <a href=""https:&#x2F;&#x2F;grnh.se&#x2F;869ff80a1"" rel=""nofollow"">https:&#x2F;&#x2F;grnh.se&#x2F;869ff80a1</a><p>Site Reliability Engineer (Oslo): <a href=""https:&#x2F;&#x2F;grnh.se&#x2F;7c26cb861"" rel=""nofollow"">https:&#x2F;&#x2F;grnh.se&#x2F;7c26cb861</a><p>Site Reliability Engineer ( NYC): <a href=""https:&#x2F;&#x2F;grnh.se&#x2F;6ef5619d1"" rel=""nofollow"">https:&#x2F;&#x2F;grnh.se&#x2F;6ef5619d1</a><p>Senior Software Engineer (NYC): <a href=""https:&#x2F;&#x2F;grnh.se&#x2F;b3b8176e1"" rel=""nofollow"">https:&#x2F;&#x2F;grnh.se&#x2F;b3b8176e1</a><p>Senior Software Engineer (Oslo): <a href=""https:&#x2F;&#x2F;grnh.se&#x2F;7d1ea2431"" rel=""nofollow"">https:&#x2F;&#x2F;grnh.se&#x2F;7d1ea2431</a><p>Senior UI Engineer (NYC): <a href=""https:&#x2F;&#x2F;grnh.se&#x2F;c99c6a751"" rel=""nofollow"">https:&#x2F;&#x2F;grnh.se&#x2F;c99c6a751</a><p>Senior Data Scientist (Oslo): <a href=""https:&#x2F;&#x2F;grnh.se&#x2F;118cb6df1"" rel=""nofollow"">https:&#x2F;&#x2F;grnh.se&#x2F;118cb6df1</a>"
